t,ca,cb,cc
0.0,1.0,3.0,0.0
0.10101010101010101,0.9323490842369888,2.9323490842369893,0.06765091576301116
0.20202020202020202,0.8736676121227847,2.873667612122785,0.1263323878772153
0.30303030303030304,0.8222025925421608,2.822202592542161,0.17779740745783915
0.40404040404040403,0.7766941079435951,2.7766941079435954,0.22330589205640494
0.5050505050505051,0.7362248431058155,2.736224843105816,0.2637751568941845
0.6060606060606061,0.6999959073763474,2.6999959073763478,0.3000040926236526
0.7070707070707071,0.6673242686889453,2.6673242686889456,0.33267573131105466
0.8080808080808081,0.637642753563593,2.6376427535635933,0.362357246436407
0.9090909090909091,0.6105097024797701,2.6105097024797708,0.38949029752022973
1.0101010101010102,0.5856366565611291,2.5856366565611295,0.41436334343887077
1.1111111111111112,0.5627879036110828,2.5627879036110834,0.4372120963889171
1.2121212121212122,0.5417452377210125,2.541745237721013,0.4582547622789874
1.3131313131313131,0.5223081042356726,2.522308104235673,0.47769189576432725
1.4141414141414141,0.5042935997531908,2.504293599753191,0.49570640024680906
1.5151515151515151,0.48753647212506745,2.487536472125068,0.5124635278749324
1.6161616161616161,0.47188912045617615,2.4718891204561766,0.5281108795438237
1.7171717171717171,0.4572215951047633,2.457221595104764,0.5427784048952367
1.8181818181818181,0.4434233876198744,2.443423387619875,0.5565766123801256
1.9191919191919191,0.4304258499315158,2.4304258499315163,0.5695741500684841
2.0202020202020203,0.41817678982512246,2.418176789825123,0.5818232101748774
2.121212121212121,0.40662463838233354,2.406624638382334,0.5933753616176664
2.2222222222222223,0.39572002552256885,2.3957200255225692,0.604279974477431
2.323232323232323,0.38541578000302956,2.3854157800030302,0.6145842199969703
2.4242424242424243,0.3756669294186976,2.3756669294186983,0.6243330705813023
2.525252525252525,0.36643070020233615,2.366430700202337,0.6335692997976637
2.6262626262626263,0.3576665176244893,2.35766651762449,0.6423334823755106
2.727272727272727,0.3493360057934823,2.3493360057934827,0.6506639942065175
2.8282828282828283,0.3414029876554212,2.341402987655422,0.6585970123445787
2.929292929292929,0.3338334849941934,2.333833484994194,0.6661665150058065
3.0303030303030303,0.32659571843146706,2.3265957184314674,0.6734042815685328
3.131313131313131,0.3196601074266916,2.3196601074266923,0.6803398925733083
3.2323232323232323,0.3129992702770973,2.3129992702770976,0.6870007297229026
3.3333333333333335,0.30659221747288,2.3065922174728803,0.6934077825271199
3.4343434343434343,0.3004361861274569,2.3004361861274574,0.699563813872543
3.5353535353535355,0.2945212314475273,2.294521231447528,0.7054787685524726
3.6363636363636362,0.288836514625698,2.2888365146256984,0.711163485374302
3.7373737373737375,0.28337147477943053,2.283371474779431,0.7166285252205693
3.8383838383838382,0.27811582895104137,2.278115828951042,0.7218841710489585
3.9393939393939394,0.2730595721077016,2.273059572107702,0.7269404278922983
4.040404040404041,0.2681929771414373,2.268192977141438,0.7318070228585626
4.141414141414141,0.26350659486912914,2.2635065948691295,0.7364934051308708
4.242424242424242,0.25899125403251266,2.258991254032513,0.7410087459674872
4.343434343434343,0.25463806129817834,2.254638061298179,0.7453619387018215
4.444444444444445,0.2504384012575712,2.250438401257572,0.7495615987424287
4.545454545454545,0.2463839364269913,2.2463839364269917,0.7536160635730086
4.646464646464646,0.24246660724759334,2.242466607247594,0.7575333927524066
4.747474747474747,0.2386786320853868,2.2386786320853873,0.7613213679146131
4.848484848484849,0.2350125072312361,2.235012507231237,0.7649874927687639
4.94949494949495,0.2314610069008603,2.2314610069008607,0.7685389930991396
5.05050505050505,0.22801718323483344,2.228017183234834,0.7719828167651664
5.151515151515151,0.22467436629858412,2.2246743662985846,0.7753256337014158
5.252525252525253,0.2214261640823959,2.2214261640823967,0.778573835917604
5.353535353535354,0.21826646250140716,2.2182664625014077,0.7817335374985928
5.454545454545454,0.21518942539561092,2.2151894253956117,0.784810574604389
5.555555555555555,0.2121894957562612,2.2121894957562613,0.7878105042437387
5.656565656565657,0.20926589585297078,2.209265895852971,0.790734104147029
5.757575757575758,0.206419623175988,2.2064196231759885,0.7935803768240118
5.858585858585858,0.20364842658379353,2.203648426583794,0.7963515734162063
5.959595959595959,0.20095009041992876,2.200950090419929,0.799049909580071
6.0606060606060606,0.19832243451299592,2.1983224345129964,0.801677565487004
6.161616161616162,0.19576331417665804,2.1957633141766584,0.8042366858233418
6.262626262626262,0.19327062020963887,2.1932706202096393,0.806729379790361
6.363636363636363,0.19084227889572297,2.1908422788957234,0.8091577211042769
6.4646464646464645,0.18847625200375573,2.188476252003756,0.8115237479962442
6.565656565656566,0.18617053678764323,2.1861705367876434,0.8138294632123566
6.666666666666667,0.18392316598635242,2.1839231659863527,0.8160768340136474
6.767676767676767,0.18173220782391097,2.181732207823911,0.8182677921760889
6.8686868686868685,0.17959576600940738,2.179595766009408,0.8204042339905925
6.96969696969697,0.17751197973699084,2.177511979736991,0.822488020263009
7.070707070707071,0.17547902368587145,2.1754790236858716,0.8245209763141284
7.171717171717171,0.17349510802032003,2.17349510802032,0.8265048919796798
7.2727272727272725,0.17155847838966815,2.1715584783896684,0.8284415216103317
7.373737373737374,0.1696674159283082,2.1696674159283087,0.8303325840716916
7.474747474747475,0.1678202372556934,2.1678202372556936,0.8321797627443065
7.575757575757575,0.16601529447633762,2.166015294476338,0.8339847055236622
7.6767676767676765,0.16425097517981557,2.164250975179816,0.8357490248201843
7.777777777777778,0.16252570244076286,2.1625257024407634,0.837474297559237
7.878787878787879,0.16083793481887573,2.160837934818876,0.8391620651811241
7.979797979797979,0.15918616635891125,2.1591861663589116,0.8408138336410886
8.080808080808081,0.1575689265906873,2.1575689265906877,0.8424310734093126
8.181818181818182,0.15598478052908252,2.155984780529083,0.8440152194709173
8.282828282828282,0.1544323286740363,2.154432328674037,0.8455676713259636
8.383838383838384,0.15291020701054886,2.152910207010549,0.847089792989451
8.484848484848484,0.15141708700868117,2.1514170870086815,0.8485829129913187
8.585858585858587,0.14995167562355502,2.1499516756235555,0.8500483243764448
8.686868686868687,0.14851271529535298,2.1485127152953534,0.8514872847046469
8.787878787878787,0.14709898394931833,2.1470989839493186,0.8529010160506816
8.88888888888889,0.1457092949957552,2.1457092949957555,0.8542907050042446
8.98989898989899,0.14434249733002846,2.1443424973300287,0.8556575026699713
9.09090909090909,0.14299852435937416,2.1429985243593745,0.8570014756406257
9.191919191919192,0.141679445176381,2.1416794451763814,0.8583205548236189
9.292929292929292,0.14038474173002966,2.14038474173003,0.8596152582699702
9.393939393939394,0.1391137420354758,2.139113742035476,0.8608862579645241
9.494949494949495,0.13786579631706264,2.137865796317063,0.8621342036829373
9.595959595959595,0.13664027700832068,2.136640277008321,0.8633597229916792
9.696969696969697,0.13543657875196788,2.135436578751968,0.864563421248032
